Tennis Match Report,Date: 2026-05-01,Opponent: Counties - Crofton,CourtId: C9,Court: Court 9 — Mixed Doubles 1
04:10:39 PM,OppBoy,Winner,="40-15",="Set 2: 0-0"
04:10:57 PM,OppGirl,Error,="Game Won",="Set 2: 1-0"
04:12:21 PM,OppGirl,Error,="15-0",="Set 2: 1-0"
04:12:48 PM,OppGirl,Error,="30-0",="Set 2: 1-0"
04:13:25 PM,OppGirl,Error,="40-0",="Set 2: 1-0"
04:14:01 PM,Brandon,Winner,="Game Won",="Set 2: 2-0"
04:14:39 PM,Brandon,Error,="0-15",="Set 2: 2-0"
04:14:56 PM,Brandon,Error,="0-30",="Set 2: 2-0"
04:15:19 PM,OppBoy,Error,="15-30",="Set 2: 2-0"
04:15:45 PM,OppBoy,Error,="30-30",="Set 2: 2-0"
04:15:59 PM,Brandon,Ace,="40-30",="Set 2: 2-0"
04:16:20 PM,Brandon,Ace,="Game Won",="Set 2: 3-0"
04:18:25 PM,OppGirl,Error,="15-0",="Set 2: 3-0"
04:18:48 PM,OppBoy,Error,="30-0",="Set 2: 3-0"
04:19:09 PM,Brandon,Error,="30-15",="Set 2: 3-0"
04:19:47 PM,OppBoy,Double-Fault,="40-15",="Set 2: 3-0"
04:20:17 PM,OppBoy,Double-Fault,="Game Won",="Set 2: 4-0"
04:20:56 PM,Maddie,Ace,="15-0",="Set 2: 4-0"
04:21:17 PM,OppBoy,Error,="30-0",="Set 2: 4-0"
04:21:39 PM,OppBoy,Winner,="30-15",="Set 2: 4-0"
04:22:06 PM,Maddie,Ace,="40-15",="Set 2: 4-0"
04:22:30 PM,Maddie,Winner,="Game Won",="Set 2: 5-0"
04:23:22 PM,OppGirl,Double-Fault,="15-0",="Set 2: 5-0"
04:23:37 PM,OppGirl,Ace,="15-15",="Set 2: 5-0"
04:24:08 PM,Brandon,Error,="15-30",="Set 2: 5-0"
04:24:24 PM,OppBoy,Error,="30-30",="Set 2: 5-0"
04:24:51 PM,OppGirl,Ace,="30-40",="Set 2: 5-0"
04:25:14 PM,Maddie,Winner,="40-40",="Set 2: 5-0"
04:25:35 PM,OppBoy,Error,="AD-40",="Set 2: 5-0"
04:26:11 PM,OppGirl,Error,="Game Won",="Set 2: 6-0"
