Tennis Match Report,Date: 2026-04-30,Opponent: Counties - Severna Park,CourtId: C9,Court: Court 9 — Mixed Doubles 1
05:19:34 PM,Maddie,Ace,="15-0",="Set 1: 3-4"
05:20:03 PM,OppGirl,Error,="30-0",="Set 1: 3-4"
05:20:34 PM,Maddie,Ace,="40-0",="Set 1: 3-4"
05:21:08 PM,OppBoy,Error,="Game Won",="Set 1: 4-4"
05:21:39 PM,OppBoy,Error,="15-0",="Set 1: 4-4"
05:22:09 PM,Maddie,Error,="15-15",="Set 1: 4-4"
05:22:42 PM,OppBoy,Winner,="15-30",="Set 1: 4-4"
05:23:18 PM,Maddie,Winner,="30-30",="Set 1: 4-4"
05:23:51 PM,OppGirl,Winner,="30-40",="Set 1: 4-4"
05:24:17 PM,OppBoy,Ace,="Game Won",="Set 1: 4-5"
05:25:13 PM,Brandon,Ace,="15-0",="Set 1: 4-5"
05:25:35 PM,OppBoy,Winner,="15-15",="Set 1: 4-5"
05:26:01 PM,Brandon,Ace,="30-15",="Set 1: 4-5"
05:26:21 PM,Maddie,Winner,="40-15",="Set 1: 4-5"
05:27:04 PM,OppBoy,Error,="Game Won",="Set 1: 5-5"
05:27:55 PM,OppBoy,Error,="15-0",="Set 1: 5-5"
05:28:22 PM,OppGirl,Winner,="15-15",="Set 1: 5-5"
05:28:43 PM,Brandon,Error,="15-30",="Set 1: 5-5"
05:28:58 PM,Maddie,Error,="15-40",="Set 1: 5-5"
05:29:27 PM,OppGirl,Error,="30-40",="Set 1: 5-5"
05:29:47 PM,Maddie,Error,="Game Won",="Set 1: 5-6"
05:30:53 PM,Maddie,Error,="0-15",="Set 1: 5-6"
05:31:17 PM,OppBoy,Error,="15-15",="Set 1: 5-6"
05:31:45 PM,Maddie,Double-Fault,="15-30",="Set 1: 5-6"
05:32:15 PM,OppGirl,Error,="30-30",="Set 1: 5-6"
05:32:57 PM,Maddie,Double-Fault,="30-40",="Set 1: 5-6"
05:33:26 PM,Maddie,Ace,="40-40",="Set 1: 5-6"
05:34:12 PM,Maddie,Ace,="AD-40",="Set 1: 5-6"
05:34:40 PM,Brandon,Winner,="Game Won",="Set 1: 6-6"
05:35:13 PM,OppGirl,Winner,="0-15",="Set 1: 6-6"
05:35:47 PM,OppBoy,Error,="15-15",="Set 1: 6-6"
05:36:18 PM,Brandon,Error,="15-30",="Set 1: 6-6"
05:36:41 PM,OppBoy,Error,="30-30",="Set 1: 6-6"
05:37:42 PM,Maddie,Error,="30-40",="Set 1: 6-6"
05:38:20 PM,OppGirl,Error,="40-40",="Set 1: 6-6"
05:38:24 PM,Maddie,Error,="40-AD",="Set 1: 6-6"
05:38:30 PM,Maddie,Error,="Game Won",="Set 1: 6-7"
05:39:37 PM,Brandon,Ace,="15-0",="Set 1: 6-7"
05:39:55 PM,Maddie,Error,="15-15",="Set 1: 6-7"
05:40:13 PM,Brandon,Error,="15-30",="Set 1: 6-7"
05:40:40 PM,Brandon,Winner,="30-30",="Set 1: 6-7"
05:41:03 PM,Brandon,Ace,="40-30",="Set 1: 6-7"
05:41:43 PM,Brandon,Error,="40-40",="Set 1: 6-7"
05:42:13 PM,Brandon,Error,="40-AD",="Set 1: 6-7"
05:42:31 PM,OppGirl,Error,="40-40",="Set 1: 6-7"
05:42:52 PM,OppBoy,Winner,="40-AD",="Set 1: 6-7"
05:43:12 PM,OppBoy,Error,="40-40",="Set 1: 6-7"
05:43:37 PM,Maddie,Error,="40-AD",="Set 1: 6-7"
05:44:28 PM,Maddie,Winner,="40-40",="Set 1: 6-7"
05:45:11 PM,OppGirl,Error,="AD-40",="Set 1: 6-7"
05:45:39 PM,OppGirl,Error,="Game Won",="Set 1: 7-7"
05:46:17 PM,OppBoy,Error,="15-0",="Set 1: 7-7"
05:46:40 PM,OppBoy,Error,="30-0",="Set 1: 7-7"
05:47:06 PM,Maddie,Winner,="40-0",="Set 1: 7-7"
05:47:37 PM,OppGirl,Error,="Game Won",="Set 1: 8-7"
05:49:19 PM,OppBoy,Winner,="0-15",="Set 1: 8-7"
05:50:10 PM,Maddie,Error,="0-30",="Set 1: 8-7"
05:50:37 PM,Maddie,Double-Fault,="0-40",="Set 1: 8-7"
05:51:05 PM,Maddie,Error,="Game Won",="Set 1: 8-8"
05:52:08 PM,Maddie,Error,="0-1",="Set 1: 8-8"
05:53:01 PM,OppGirl,Error,="1-1",="Set 1: 8-8"
05:53:24 PM,Brandon,Error,="1-2",="Set 1: 8-8"
05:54:19 PM,OppGirl,Error,="2-2",="Set 1: 8-8"
05:54:42 PM,Brandon,Winner,="3-2",="Set 1: 8-8"
05:55:39 PM,OppBoy,Error,="4-2",="Set 1: 8-8"
05:56:26 PM,OppBoy,Error,="5-2",="Set 1: 8-8"
05:57:10 PM,OppBoy,Error,="6-2",="Set 1: 8-8"
05:57:42 PM,OppBoy,Error,="7-2",="Set 1: 9-8"
