Tennis Match Report,Date: 2026-04-17,Opponent: Girls Court,CourtId: C2,Court: Court 2 — Girls Singles 1
11:57:46 AM,OppGirl,Winner,="0-30",="Set 1: 5-3"
11:57:46 AM,OppGirl,Winner,="0-40",="Set 1: 5-3"
11:57:47 AM,OppGirl,Winner,="Game Won",="Set 1: 5-4"
11:57:47 AM,OppGirl,Winner,="0-15",="Set 1: 5-4"
11:57:47 AM,OppGirl,Winner,="0-30",="Set 1: 5-4"
11:57:47 AM,OppGirl,Winner,="0-40",="Set 1: 5-4"
11:57:47 AM,OppGirl,Winner,="Game Won",="Set 1: 5-5"
11:57:47 AM,OppGirl,Winner,="0-15",="Set 1: 5-5"
11:57:47 AM,OppGirl,Winner,="0-30",="Set 1: 5-5"
11:57:48 AM,Josie,Ace,="15-30",="Set 1: 5-5"
11:57:48 AM,Josie,Ace,="30-30",="Set 1: 5-5"
11:57:48 AM,Josie,Ace,="40-30",="Set 1: 5-5"
11:57:49 AM,Josie,Ace,="Game Won",="Set 1: 6-5"
11:57:49 AM,Josie,Winner,="15-0",="Set 1: 6-5"
11:57:49 AM,Josie,Winner,="30-0",="Set 1: 6-5"
11:57:49 AM,Josie,Winner,="40-0",="Set 1: 6-5"
11:57:49 AM,Josie,Winner,="Game Won",="Set 1: 7-5"
11:57:49 AM,Josie,Winner,="15-0",="Set 2: 0-0"
11:57:50 AM,Josie,Winner,="30-0",="Set 2: 0-0"
11:57:50 AM,Josie,Winner,="40-0",="Set 2: 0-0"
11:57:50 AM,Josie,Winner,="Game Won",="Set 2: 1-0"
11:57:50 AM,Josie,Double-Fault,="0-15",="Set 2: 1-0"
11:57:51 AM,Josie,Double-Fault,="0-30",="Set 2: 1-0"
11:57:51 AM,Josie,Double-Fault,="0-40",="Set 2: 1-0"
11:57:51 AM,Josie,Double-Fault,="Game Won",="Set 2: 1-1"
11:57:52 AM,Josie,Winner,="15-0",="Set 2: 1-1"
11:57:52 AM,Josie,Double-Fault,="15-15",="Set 2: 1-1"
11:57:52 AM,Josie,Ace,="30-15",="Set 2: 1-1"
11:57:52 AM,Josie,Ace,="40-15",="Set 2: 1-1"
11:57:53 AM,Josie,Error,="40-30",="Set 2: 1-1"
11:57:53 AM,Josie,Winner,="Game Won",="Set 2: 2-1"
11:57:53 AM,Josie,Winner,="15-0",="Set 2: 2-1"
11:57:53 AM,Josie,Double-Fault,="15-15",="Set 2: 2-1"
11:57:53 AM,Josie,Double-Fault,="15-30",="Set 2: 2-1"
11:57:54 AM,Josie,Error,="15-40",="Set 2: 2-1"
11:57:54 AM,Josie,Ace,="30-40",="Set 2: 2-1"
11:57:54 AM,Josie,Ace,="40-40",="Set 2: 2-1"
11:57:54 AM,Josie,Ace,="AD-40",="Set 2: 2-1"
11:57:54 AM,Josie,Winner,="Game Won",="Set 2: 3-1"
11:57:54 AM,Josie,Winner,="15-0",="Set 2: 3-1"
11:57:55 AM,Josie,Winner,="30-0",="Set 2: 3-1"
11:57:55 AM,Josie,Ace,="40-0",="Set 2: 3-1"
11:57:56 AM,Josie,Error,="40-15",="Set 2: 3-1"
11:57:56 AM,Josie,Error,="40-30",="Set 2: 3-1"
11:57:56 AM,Josie,Double-Fault,="40-40",="Set 2: 3-1"
11:57:56 AM,Josie,Winner,="AD-40",="Set 2: 3-1"
11:57:57 AM,Josie,Error,="40-40",="Set 2: 3-1"
11:57:57 AM,Josie,Error,="40-AD",="Set 2: 3-1"
11:57:57 AM,Josie,Error,="Game Won",="Set 2: 3-2"
11:57:57 AM,Josie,Double-Fault,="0-15",="Set 2: 3-2"
11:57:57 AM,Josie,Winner,="15-15",="Set 2: 3-2"
11:57:57 AM,Josie,Ace,="30-15",="Set 2: 3-2"
11:57:57 AM,Josie,Ace,="40-15",="Set 2: 3-2"
11:57:58 AM,Josie,Ace,="Game Won",="Set 2: 4-2"
11:57:58 AM,Josie,Error,="0-15",="Set 2: 4-2"
11:57:58 AM,Josie,Error,="0-30",="Set 2: 4-2"
11:57:58 AM,Josie,Double-Fault,="0-40",="Set 2: 4-2"
11:57:58 AM,Josie,Winner,="15-40",="Set 2: 4-2"
11:57:59 AM,Josie,Ace,="30-40",="Set 2: 4-2"
11:57:59 AM,Josie,Error,="Game Won",="Set 2: 4-3"
11:57:59 AM,Josie,Error,="0-15",="Set 2: 4-3"
11:57:59 AM,Josie,Double-Fault,="0-30",="Set 2: 4-3"
11:58:00 AM,Josie,Ace,="15-30",="Set 2: 4-3"
11:58:01 AM,Josie,Error,="15-40",="Set 2: 4-3"
11:58:01 AM,Josie,Error,="Game Won",="Set 2: 4-4"
11:58:01 AM,Josie,Ace,="15-0",="Set 2: 4-4"
11:58:01 AM,Josie,Ace,="30-0",="Set 2: 4-4"
11:58:02 AM,Josie,Ace,="40-0",="Set 2: 4-4"
11:58:02 AM,Josie,Winner,="Game Won",="Set 2: 5-4"
11:58:02 AM,Josie,Winner,="15-0",="Set 2: 5-4"
11:58:02 AM,Josie,Winner,="30-0",="Set 2: 5-4"
11:58:02 AM,Josie,Winner,="40-0",="Set 2: 5-4"
11:58:02 AM,Josie,Winner,="Game Won",="Set 2: 6-4"
