Tennis Match Report,Date: 2026-05-09,Opponent: Regionals - Chopticon,CourtId: C9,Court: Court 9 — Mixed Doubles 1
01:25:44 PM,OppBoy,Error,="AD-40",="Set 1: 2-3"
01:26:00 PM,OppBoy,Winner,="40-40",="Set 1: 2-3"
01:26:12 PM,OppGirl,Error,="AD-40",="Set 1: 2-3"
01:26:35 PM,Maddie,Error,="40-40",="Set 1: 2-3"
01:27:03 PM,OppBoy,Winner,="40-AD",="Set 1: 2-3"
01:27:26 PM,OppBoy,Winner,="Game Won",="Set 1: 2-4"
01:27:58 PM,OppBoy,Error,="15-0",="Set 1: 2-4"
01:28:17 PM,Maddie,Error,="15-15",="Set 1: 2-4"
01:28:37 PM,OppGirl,Double-Fault,="30-15",="Set 1: 2-4"
01:28:58 PM,Brandon,Error,="30-30",="Set 1: 2-4"
01:29:16 PM,OppGirl,Error,="40-30",="Set 1: 2-4"
01:29:33 PM,OppGirl,Error,="Game Won",="Set 1: 3-4"
01:30:36 PM,OppBoy,Winner,="0-15",="Set 1: 3-4"
01:31:00 PM,Maddie,Error,="0-30",="Set 1: 3-4"
01:31:31 PM,Maddie,Error,="0-40",="Set 1: 3-4"
01:31:57 PM,Brandon,Error,="Game Won",="Set 1: 3-5"
01:32:52 PM,OppBoy,Double-Fault,="15-0",="Set 1: 3-5"
01:33:30 PM,OppBoy,Error,="30-0",="Set 1: 3-5"
01:34:03 PM,Maddie,Error,="30-15",="Set 1: 3-5"
01:34:32 PM,Maddie,Error,="30-30",="Set 1: 3-5"
01:34:53 PM,OppBoy,Error,="40-30",="Set 1: 3-5"
01:35:13 PM,Maddie,Error,="40-40",="Set 1: 3-5"
01:35:49 PM,Maddie,Winner,="AD-40",="Set 1: 3-5"
01:36:12 PM,OppBoy,Ace,="40-40",="Set 1: 3-5"
01:36:41 PM,OppBoy,Winner,="40-AD",="Set 1: 3-5"
01:37:16 PM,Maddie,Error,="Game Won",="Set 1: 3-6"
01:39:36 PM,Maddie,Error,="0-15",="Set 2: 0-0"
01:39:50 PM,OppBoy,Error,="15-15",="Set 2: 0-0"
01:40:12 PM,OppGirl,Error,="30-15",="Set 2: 0-0"
01:40:26 PM,OppBoy,Error,="40-15",="Set 2: 0-0"
01:40:57 PM,Brandon,Error,="40-30",="Set 2: 0-0"
01:41:33 PM,OppGirl,Error,="Game Won",="Set 2: 1-0"
01:42:29 PM,OppBoy,Winner,="0-15",="Set 2: 1-0"
01:43:14 PM,Maddie,Error,="0-30",="Set 2: 1-0"
01:43:30 PM,Brandon,Error,="0-40",="Set 2: 1-0"
01:44:02 PM,Brandon,Error,="Game Won",="Set 2: 1-1"
01:45:00 PM,Maddie,Double-Fault,="0-15",="Set 2: 1-1"
01:45:12 PM,OppBoy,Error,="15-15",="Set 2: 1-1"
01:45:27 PM,OppGirl,Error,="30-15",="Set 2: 1-1"
01:45:46 PM,OppBoy,Error,="40-15",="Set 2: 1-1"
01:46:09 PM,Brandon,Winner,="Game Won",="Set 2: 2-1"
01:48:24 PM,OppBoy,Double-Fault,="15-0",="Set 2: 2-1"
01:49:13 PM,Maddie,Error,="15-15",="Set 2: 2-1"
01:49:45 PM,OppBoy,Winner,="15-30",="Set 2: 2-1"
01:50:12 PM,OppBoy,Ace,="15-40",="Set 2: 2-1"
01:50:39 PM,OppBoy,Double-Fault,="30-40",="Set 2: 2-1"
01:51:24 PM,OppBoy,Error,="40-40",="Set 2: 2-1"
01:51:50 PM,OppBoy,Error,="AD-40",="Set 2: 2-1"
01:52:18 PM,Maddie,Error,="40-40",="Set 2: 2-1"
01:52:39 PM,Maddie,Error,="40-AD",="Set 2: 2-1"
01:53:07 PM,Maddie,Error,="Game Won",="Set 2: 2-2"
01:53:47 PM,Maddie,Error,="0-15",="Set 2: 2-2"
01:54:24 PM,Brandon,Error,="0-30",="Set 2: 2-2"
01:54:29 PM,OppBoy,Error,="15-30",="Set 2: 2-2"
01:54:41 PM,OppBoy,Error,="30-30",="Set 2: 2-2"
01:55:06 PM,Brandon,Error,="30-40",="Set 2: 2-2"
01:55:31 PM,Maddie,Double-Fault,="Game Won",="Set 2: 2-3"
01:57:15 PM,Maddie,Error,="0-15",="Set 2: 2-3"
01:57:40 PM,OppGirl,Error,="15-15",="Set 2: 2-3"
01:58:02 PM,OppGirl,Error,="30-15",="Set 2: 2-3"
01:58:28 PM,OppGirl,Double-Fault,="40-15",="Set 2: 2-3"
01:58:59 PM,OppBoy,Error,="Game Won",="Set 2: 3-3"
01:59:23 PM,Maddie,Winner,="15-0",="Set 2: 3-3"
01:59:42 PM,OppBoy,Error,="30-0",="Set 2: 3-3"
02:00:09 PM,OppBoy,Error,="40-0",="Set 2: 3-3"
02:00:45 PM,Maddie,Winner,="Game Won",="Set 2: 4-3"
02:02:21 PM,OppBoy,Double-Fault,="15-0",="Set 2: 4-3"
02:02:49 PM,OppBoy,Ace,="15-15",="Set 2: 4-3"
02:03:42 PM,OppBoy,Error,="30-15",="Set 2: 4-3"
02:04:07 PM,OppBoy,Double-Fault,="40-15",="Set 2: 4-3"
02:04:49 PM,Brandon,Error,="40-30",="Set 2: 4-3"
02:05:20 PM,Maddie,Winner,="Game Won",="Set 2: 5-3"
02:06:24 PM,OppBoy,Winner,="0-15",="Set 2: 5-3"
02:07:20 PM,OppBoy,Error,="15-15",="Set 2: 5-3"
02:07:38 PM,OppBoy,Error,="30-15",="Set 2: 5-3"
02:08:04 PM,Brandon,Error,="30-30",="Set 2: 5-3"
02:08:29 PM,OppGirl,Error,="40-30",="Set 2: 5-3"
02:08:56 PM,Maddie,Error,="40-40",="Set 2: 5-3"
02:09:36 PM,Brandon,Error,="40-AD",="Set 2: 5-3"
02:10:19 PM,OppBoy,Error,="40-40",="Set 2: 5-3"
02:10:41 PM,OppGirl,Error,="AD-40",="Set 2: 5-3"
02:11:07 PM,OppGirl,Error,="Game Won",="Set 2: 6-3"
02:17:18 PM,Brandon,Winner,="1-0",="Set 3: 1-0"
02:17:43 PM,OppBoy,Error,="2-0",="Set 3: 2-0"
02:18:04 PM,OppGirl,Error,="3-0",="Set 3: 3-0"
02:18:28 PM,OppBoy,Error,="4-0",="Set 3: 4-0"
02:18:50 PM,OppBoy,Error,="5-0",="Set 3: 5-0"
02:19:28 PM,OppBoy,Winner,="5-1",="Set 3: 5-1"
02:20:34 PM,OppGirl,Winner,="5-2",="Set 3: 5-2"
02:20:41 PM,Maddie,Winner,="6-2",="Set 3: 6-2"
