Tennis Match Report,Date: 2026-05-11,Opponent: Regionals - Chopticon TB,CourtId: C9,Court: Court 9 — Mixed Doubles 1
03:05:50 PM,OppBoy,Ace,="0-30",="Set 2: 0-4"
03:05:50 PM,OppBoy,Ace,="0-40",="Set 2: 0-4"
03:05:51 PM,OppBoy,Ace,="Game Won",="Set 2: 0-5"
03:05:52 PM,OppBoy,Ace,="0-15",="Set 2: 0-5"
03:05:53 PM,OppBoy,Ace,="0-30",="Set 2: 0-5"
03:05:53 PM,OppBoy,Ace,="0-40",="Set 2: 0-5"
03:05:54 PM,OppBoy,Ace,="Game Won",="Set 2: 0-6"
03:06:32 PM,Brandon,Winner,="1-0",="Set 3: 1-0"
03:06:35 PM,OppBoy,Error,="2-0",="Set 3: 2-0"
03:06:35 PM,OppGirl,Error,="3-0",="Set 3: 3-0"
03:06:44 PM,OppBoy,Error,="4-0",="Set 3: 4-0"
03:06:53 PM,OppBoy,Error,="5-0",="Set 3: 5-0"
03:06:59 PM,OppBoy,Winner,="5-1",="Set 3: 5-1"
03:07:06 PM,OppGirl,Winner,="5-2",="Set 3: 5-2"
03:07:06 PM,Maddie,Winner,="6-2",="Set 3: 6-2"
03:10:50 PM,Brandon,Error,="6-3",="Set 3: 6-3"
03:11:22 PM,OppBoy,Winner,="6-4",="Set 3: 6-4"
03:11:44 PM,OppBoy,Winner,="6-5",="Set 3: 6-5"
03:12:13 PM,Maddie,Error,="6-6",="Set 3: 6-6"
03:13:11 PM,OppBoy,Error,="7-6",="Set 3: 7-6"
03:14:06 PM,Maddie,Error,="7-7",="Set 3: 7-7"
03:14:33 PM,Maddie,Double-Fault,="7-8",="Set 3: 7-8"
03:14:55 PM,OppGirl,Error,="8-8",="Set 3: 8-8"
03:15:36 PM,Brandon,Error,="8-9",="Set 3: 8-9"
03:16:28 PM,Brandon,Error,="8-10",="Set 3: 8-10"
